279,77841,228,277,631375
279,77841,180,277,605375
284,80656,184,281,587250
290,84100,176,286,539250
294,86436,234,290,686125
299,89401,176,295,800625
302,91204,210,298,1077625
303,91809,184,298,1117500
297,88209,176,293,903250
295,87025,234,291,738000
288,82944,176,285,591750
281,78961,184,278,635000
278,77284,220,276,701625
283,80089,187,280,573625
285,81225,198,282,567875
289,83521,161,285,501875
296,87616,234,291,770125
298,88804,189,295,803125
303,91809,198,299,1083250
303,91809,184,298,1091250
298,88804,176,295,842375
293,85849,234,289,773625
286,81796,176,283,508000
282,79524,210,280,631875
277,76729,198,275,710000
277,76729,198,274,697500
284,80656,210,281,518250
289,83521,189,285,497375
285,81225,210,290,703250
297,88209,200,294,822750
303,91809,184,298,1097125
302,91204,210,299,1004125
299,89401,189,295,930250
294,86436,220,290,727875
286,81796,200,283,562875
280,78400,184,277,618375
277,76729,238,275,711375
282,79524,147,280,536625
284,80656,198,281,538625
289,83521,189,285,532750
295,87025,228,289,763750
300,90000,176,296,790250
302,91204,184,298,979750
301,90601,210,298,972000
298,88804,161,295,860750
294,86436,238,290,684750
285,81225,189,283,588750
279,77841,184,277,756875
